onset	duration	trial_type
137.93104935418614	0	Occlusion_Start
438.13793544656164	0	Occlusion_End
633.3012767252958	0	Warmup_Start
696.9276428547901	0	Warmup_End
720.0908592567293	0	Start_MVC_Pre_1
723.3977713251234	0	Onset_Force
729.119501825583	0	Stop_Force
732.9330168232418	0	Rest_MVC
796.1571191504927	0	Start_MVC_Pre_2
799.4647891690702	0	Onset_Force
805.186487871616	0	Stop_Force
811.9397075261668	0	Rest_MVC
874.8434888535276	0	Start_MVC_Pre_3
878.1528556602289	0	Onset_Force
883.8753953074201	0	Stop_Force
890.9663226167186	0	CMV_Val_319
891.0178919197506	0	Long_Break_Start
1071.620332448264	0	Long_Break_End
1075.4794364428826	0	Start_Block_20
1078.7376118217226	0	Contraction_20_Rep1
1089.3770966817838	0	Rest
1123.0822818673778	0	Contraction_20_Rep2
1133.7187659251367	0	Rest
1167.4239297121394	0	Contraction_20_Rep3
1178.0595953237944	0	Rest
1211.7680785921848	0	Contraction_20_Rep4
1222.4077506399344	0	Rest
1256.113310200847	0	Contraction_20_Rep5
1266.7505649078385	0	Rest
1266.8014683548108	0	End_Block_20
1451.920398874835	0	Start_Block_60
1455.1777031110114	0	Contraction_60_Rep1
1465.8138102936073	0	Rest
1499.5182722268373	0	Contraction_60_Rep2
1510.1619148130276	0	Rest
1543.87067746294	0	Contraction_60_Rep3
1554.5071671203923	0	Rest
1588.2188645769938	0	Contraction_60_Rep4
1598.8586440177032	0	Rest
1632.566901200903	0	Contraction_60_Rep5
1643.2004747504116	0	Rest
1643.2517327739488	0	End_Block_60
1829.4550458640306	0	Start_Block_40
1832.7147963390316	0	Contraction_40_Rep1
1843.3521974364276	0	Rest
1877.0573508240495	0	Contraction_40_Rep2
1887.7057411976139	0	Rest
1921.4127622622627	0	Contraction_40_Rep3
1932.0500705657041	0	Rest
1965.76302173971	0	Contraction_40_Rep4
1976.3991056238165	0	Rest
2010.1047406798325	0	Contraction_40_Rep5
2020.7407179709853	0	Rest
2020.7931306184482	0	End_Block_40
2020.844756317777	0	Rest_Before_PostMVC
2211.062089297907	0	Start_MVC_Post
2216.8320377222126	0	Stop_MVC_Post
