onset	duration	trial_type
86.26969052752247	0	Occlusion_Start
386.4369932782429	0	Occlusion_End
598.2239911816723	0	Warmup_Start
744.0526672219275	0	Warmup_End
759.810615334718	0	Start_MVC_Pre_1
763.1215374800959	0	Onset_Force
768.8406443914573	0	Stop_Force
773.7618794603331	0	Rest_MVC
836.5564509983524	0	Start_MVC_Pre_2
839.8642264706432	0	Onset_Force
845.5864463543403	0	Stop_Force
850.5294526291837	0	Rest_MVC
912.8746316233883	0	Start_MVC_Pre_3
916.1833839183673	0	Onset_Force
921.904705581168	0	Stop_Force
925.627533799212	0	CMV_Val_314
925.6789532942057	0	Long_Break_Start
1106.2476484882063	0	Long_Break_End
1111.6147068179562	0	Start_Block_20
1114.872541229619	0	Contraction_20_Rep1
1125.5052974335558	0	Rest
1159.2015043292195	0	Contraction_20_Rep2
1169.836556186492	0	Rest
1203.5392930338858	0	Contraction_20_Rep3
1214.1788287953823	0	Rest
1247.8937327255262	0	Contraction_20_Rep4
1258.5344006133382	0	Rest
1292.2416497656086	0	Contraction_20_Rep5
1302.8840084926924	0	Rest
1302.9357569953427	0	End_Block_20
1485.3221212317003	0	Start_Block_60
1488.5804340544855	0	Contraction_60_Rep1
1499.2227889815113	0	Rest
1532.9343005328556	0	Contraction_60_Rep2
1543.570696421346	0	Rest
1577.2840522155457	0	Contraction_60_Rep3
1587.9253348176135	0	Rest
1621.6421083912428	0	Contraction_60_Rep4
1632.2763752302853	0	Rest
1665.990659946052	0	Contraction_60_Rep5
1676.6297246965987	0	Rest
1676.6814899996098	0	End_Block_60
1860.5392088301014	0	Start_Block_40
1863.7987796821108	0	Contraction_40_Rep1
1874.44184862572	0	Rest
1908.153730285645	0	Contraction_40_Rep2
1918.7901308742585	0	Rest
1952.5004629981704	0	Contraction_40_Rep3
1963.1369290883304	0	Rest
1996.849487864005	0	Contraction_40_Rep4
2007.4829234837089	0	Rest
2041.1953670567018	0	Contraction_40_Rep5
2051.8341004995455	0	Rest
2051.885108784976	0	End_Block_40
2051.9368472873466	0	Rest_Before_PostMVC
2239.69986697656	0	Start_MVC_Post
2245.470643988694	0	Stop_MVC_Post
