onset	duration	trial_type
104.30420708757083	0	Occlusion_Start
404.54039480160645	0	Occlusion_End
555.4920120065981	0	Warmup_Start
637.2448059992348	0	Warmup_End
766.9288787602163	0	Start_MVC_Pre_1
770.239319897275	0	Onset_Force
775.9605875410671	0	Stop_Force
779.4498833939615	0	Rest_MVC
842.0648575129635	0	Start_MVC_Pre_2
845.3762009911188	0	Onset_Force
851.0996542920657	0	Stop_Force
855.0850853336924	0	Rest_MVC
922.4632130876598	0	Start_MVC_Pre_3
925.7707256160975	0	Onset_Force
931.4915611880897	0	Stop_Force
934.9535192269432	0	CMV_Val_357
935.00469298389	0	Long_Break_Start
1115.5828120629485	0	Long_Break_End
1131.0290529983067	0	Start_Block_20
1134.2860558263674	0	Contraction_20_Rep1
1144.9255440749876	0	Rest
1178.632023314265	0	Contraction_20_Rep2
1189.2667150761881	0	Rest
1222.9832186605963	0	Contraction_20_Rep3
1233.6203399638362	0	Rest
1267.3332240847121	0	Contraction_20_Rep4
1277.9730615104963	0	Rest
1311.6821447796137	0	Contraction_20_Rep5
1322.3201655241028	0	Rest
1322.3711624926254	0	End_Block_20
1507.668810756546	0	Start_Block_40
1510.926181160572	0	Contraction_40_Rep1
1521.561834059732	0	Rest
1555.272809905251	0	Contraction_40_Rep2
1565.9124390446996	0	Rest
1599.6223693584507	0	Contraction_40_Rep3
1610.2598049412081	0	Rest
1643.9741600658926	0	Contraction_40_Rep4
1654.611262270384	0	Rest
1688.3206736181346	0	Contraction_40_Rep5
1698.9558721469548	0	Rest
1699.0075086736651	0	End_Block_40
1881.8714180277493	0	Start_Block_60
1885.1294476887742	0	Contraction_60_Rep1
1895.7650245928853	0	Rest
1929.4761928258413	0	Contraction_60_Rep2
1940.107064837317	0	Rest
1973.8131324034366	0	Contraction_60_Rep3
1984.4496373469192	0	Rest
2018.1611320585544	0	Contraction_60_Rep4
2028.7993616893255	0	Rest
2062.50823487221	0	Contraction_60_Rep5
2073.147592429381	0	Rest
2073.1991458615703	0	End_Block_60
2073.250395513507	0	Rest_Before_PostMVC
2264.8482608998493	0	Start_MVC_Post
2270.6191111045373	0	Stop_MVC_Post
